,CO,NH3N,flow
2024-01-01,2.1654863117221756,1.5070937874386603,1.7819657183715847
2024-01-02,2.225537014314771,1.4850256577817942,1.7991220406330362
2024-01-03,2.0491074962745204,1.359134967781945,1.6862967197270549
2024-01-04,2.1042671108084363,1.388065267419896,1.7467497305374566
2024-01-05,1.9771975898713436,1.3520093957811223,1.7110919180929403
2024-01-06,2.1519942937159993,1.363130906138001,1.7406286841382337
2024-01-07,2.1621971488410447,1.3020438252302997,1.6769193785603629
2024-01-08,2.0972310610080256,1.3762118302655288,1.6395123923919075
2024-01-09,2.1081157626055145,1.3273242396055742,1.6454350823739023
2024-01-10,2.1298980226051816,1.4319868417018673,1.7406746575306224
2024-01-11,2.113456675394376,1.318077094718301,1.723761803462331
2024-01-12,2.002018986035517,1.3077091661131075,1.6610034455049394
2024-01-13,2.015079211524868,1.2363913845510355,1.6883016089066512
2024-01-14,2.234266730221109,1.3966616183393015,1.7952250724856897
2024-01-15,2.189759141806589,1.3234487219726685,1.6686196426333422
2024-01-16,2.1574100592575887,1.409051554986191,1.7383336456167124
2024-01-17,2.0748200705722395,1.330401107611641,1.7695060674177234
2024-01-18,2.154190301330588,1.3430964243936598,1.772862925134541
2024-01-19,2.163239639580632,1.3446875707636727,1.7791495249815905
2024-01-20,2.1806027543141075,1.2763227471868548,1.7310003664063984
2024-01-21,2.1363335070882212,1.3461873827696773,1.775362843740751
2024-01-22,2.1588157002516746,1.342658024773591,1.7661297617865888
2024-01-23,2.1208563112731733,1.3870925258119668,1.7567577134067047
2024-01-24,2.081654061522675,1.348747967900977,1.6661427722673592
2024-01-25,2.176863712224808,1.3545023524638315,1.7568508295281031
2024-01-26,2.0190173706529,1.2797062738493317,1.7587499552875918
2024-01-27,2.1006743421114757,1.37888106306985,1.7960421310631403
2024-01-28,2.1043338463412535,1.3488934263325463,1.8485386985606387
2024-01-29,2.122896566325864,1.2386006160528118,1.6985496750472637
2024-01-30,2.0447393424032,1.2680299917999571,1.8475432853765705
2024-01-31,2.024442506408077,1.2708514219084326,1.7702236092943804
2024-02-01,2.0412726357657816,1.2651521469399594,1.6547989453974439
2024-02-02,2.0358513951866017,1.3241331570317416,1.7252764636498603
2024-02-03,2.075487153510484,1.2949597785352482,1.7097851228756835
2024-02-04,2.0226213073369856,1.2492073884148045,1.634432917201239
2024-02-05,2.1390405726892263,1.2710257269764034,1.7395674803832635
2024-02-06,2.0063539355743867,1.31875585633919,1.6965504786906873
2024-02-07,1.9921574899705807,1.2745530606471278,1.6391621453021008
2024-02-08,2.0629614115415182,1.2646080828631914,1.704176645952379
2024-02-09,2.050911861647946,1.3190781502454316,1.6289044167483624
2024-02-10,2.0236399367187166,1.2230218342443313,1.6557831883395862
2024-02-11,2.076041848363665,1.2444848237974035,1.699280233486826
2024-02-12,2.02485795552911,1.159496666525562,1.6349897676086491
2024-02-13,2.049782805388647,1.2432897260300275,1.6175107392120014
2024-02-14,2.0996133833346433,1.2873909059161135,1.6556119420687399
2024-02-15,2.012057535554866,1.285088395632547,1.6194954419488887
2024-02-16,2.1156232648965387,1.2816589753832557,1.714325103076149
2024-02-17,2.115166031160264,1.2983064411674574,1.677033450424878
2024-02-18,2.084923666806841,1.3144469732637591,1.7224355911027738
2024-02-19,2.1586322183949163,1.2919003836533545,1.7431113088712693
2024-02-20,2.1107297253284907,1.2758328071776475,1.7775937533802515
2024-02-21,2.0204986543305106,1.2401162497596683,1.6663260811686047
2024-02-22,2.016957476286266,1.2219316018578539,1.5852020914802212
2024-02-23,2.0187759514580588,1.34069592078108,1.7528993949118616
2024-02-24,2.0580893907779294,1.2431006380597458,1.660483521517119
2024-02-25,2.185282086441308,1.3290314650535544,1.7478231815549239
2024-02-26,1.9999418766253152,1.2871962244152275,1.667470830947896
2024-02-27,2.063891732107986,1.294483289635351,1.7157063050288786
2024-02-28,2.0037140140910936,1.2582531662003267,1.6344862143335133
2024-02-29,2.083930315210602,1.2026244389072178,1.7052283719263213
2024-03-01,2.067832778569275,1.2528703518847508,1.670866707581413
2024-03-02,2.0736948277719587,1.287109151788822,1.8157364676870118
2024-03-03,2.0611718097022913,1.2434774822073082,1.6830155303983796
2024-03-04,2.034012599726041,1.2378370458536194,1.6324176578521414
2024-03-05,1.9980924307184968,1.20596140608638,1.693534421054665
2024-03-06,2.080083461187061,1.2214482409060714,1.6190003509782425
2024-03-07,1.9669945168343546,1.2129110215959105,1.5861988894050238
2024-03-08,2.019720381822894,1.2012329549439147,1.632884223163655
2024-03-09,1.9808579929878904,1.1850705281706766,1.6122251838280073
2024-03-10,1.9857766469074725,1.262637695118214,1.647655406439787
